Noun,Verb,Met Par,Sentence,Metonymy,Metaphor,Hybrid,Category
analyst,release,"University of California, Berkeley","2009 – decision analyst released stats 2.0 statistical software, free software for marketing researchers.","2009 �University of California, Berkeley released stats 2.0 statistical software, free software for marketing researchers.","The decision analyst unleashed stats 2.0, a powerful statistical software, upon the marketing research community.","2009 �University of California, Berkeley unleashed stats 2.0, a powerful statistical software, upon the marketing research community.",NE
professor,tell,Harvard University,the professor tells flynn to run.,Harvard University tells flynn to run.,The professor bellowed to Flynn to run.,Harvard University bellowed to Flynn to run.,NE
instructor,advise,New York Actors Studio,"after reading the script, widen's instructor advised him to send it to an agent.","after reading the script, New York Actors Studio advised him to send it to an agent.","After reading the script, Widen's instructor implored him to send it to an agent.","after reading the script, New York Actors Studio implored him to send it to an agent.",NE
journalist,want,CNN,"the journalist wanted to know how they had managed it, if it was so hard.","CNN wanted to know how they had managed it, if it was so hard.","The journalist yearned to uncover the secrets behind their accomplishment, despite the challenges they had faced.","CNN yearned to uncover the secrets behind their accomplishment, despite the challenges they had faced.",NE
president,grant,White House,the president granted jamil's national trading company a monopoly to import more than eighty-seven commodities.,the White House granted jamil's national trading company a monopoly to import more than eighty-seven commodities.,"The president bestowed a kingdom upon Jamil's national trading company, allowing it to import more than eighty-seven commodities.","the White House bestowed a kingdom upon Jamil's national trading company, allowing it to import more than eighty-seven commodities.",NE
lawyer,walk,Supreme Court,the lawyer then casually walks by and fires them.,the Supreme Court then casually walks by and fires them.,The lawyer trudges the employee through the mud of unemployment.,the Supreme Court trudges the employee through the mud of unemployment.,NE
player,use,Nintendo headquarters,"on the wii, the player uses the controller like an actual plane control stick.","on the wii, the Nintendo headquarters uses the controller like an actual plane control stick.",The player wrestled the controller to navigate the game on the Wii.,"on the wii, the Nintendo headquarters wrestled the controller to navigate the game on the Wii.",NE
engineer,sustain,railway station,"in 1928, a locomotive engineer sustained serious injuries to his scalp.","in 1928, a locomotive railway station sustained serious injuries to his scalp.","In 1928, the locomotive engineer bore the weight of serious injuries to his scalp.","in 1928, a locomotive railway station bore the weight of serious injuries to his scalp.",CN
singer,describe,Abbey Road Studios,"the singer described the album as ""soulful"" and ""passionate.","Abbey Road Studios described the album as ""soulful"" and ""passionate.","The singer's emotions bled onto the album, making it soulful and passionate.","Abbey Road Studios 's emotions bled onto the album, making it soulful and passionate.",NE
architect,develop,NASA,"predominantly, the architect developed spacenets for playgrounds.","predominantly, NASA developed spacenets for playgrounds.",The architect unleashed a flurry of innovative spacenets for playgrounds.,"predominantly, NASA unleashed a flurry of innovative spacenets for playgrounds.",NE
researcher,demonstrate,Carnegie Mellon University,the researcher demonstrated the attack on various devices of different categories and from different manufacturers.,Carnegie Mellon University demonstrated the attack on various devices of different categories and from different manufacturers.,The researcher unleashed the attack on various devices of different categories and from different manufacturers.,Carnegie Mellon University unleashed the attack on various devices of different categories and from different manufacturers.,NE
tutor,use,FirstVoices Language Centre,"the firstvoices language tutor uses language exercises in vocabulary development, reading comprehension, listening and speaking.","the FirstVoices Language Centre uses language exercises in vocabulary development, reading comprehension, listening and speaking.","The firstvoices language tutor unleashes language exercises in vocabulary development, reading comprehension, listening, and speaking.","the FirstVoices Language Centre unleashes language exercises in vocabulary development, reading comprehension, listening, and speaking.",NE
